Unnamed: 0,raw_data,date,price,percent,district,small_district
1346,"2017年05月房价
42592元/㎡
0.91%↓
罗湖
sungang",2017年05月房价,42592元/㎡,0.91%↓,罗湖,sungang
1347,"2017年06月房价
42813元/㎡
0.52%↑
罗湖
sungang",2017年06月房价,42813元/㎡,0.52%↑,罗湖,sungang
1348,"2017年07月房价
43829元/㎡
2.37%↑
罗湖
sungang",2017年07月房价,43829元/㎡,2.37%↑,罗湖,sungang
1349,"2017年08月房价
42882元/㎡
2.16%↓
罗湖
sungang",2017年08月房价,42882元/㎡,2.16%↓,罗湖,sungang
1350,"2017年09月房价
42882元/㎡
--
罗湖
sungang",2017年09月房价,42882元/㎡,--,罗湖,sungang
1351,"2017年10月房价
42148元/㎡
1.71%↓
罗湖
sungang",2017年10月房价,42148元/㎡,1.71%↓,罗湖,sungang
1352,"2017年11月房价
42227元/㎡
0.19%↑
罗湖
sungang",2017年11月房价,42227元/㎡,0.19%↑,罗湖,sungang
1353,"2017年12月房价
42219元/㎡
0.02%↓
罗湖
sungang",2017年12月房价,42219元/㎡,0.02%↓,罗湖,sungang
1354,"2012年01月房价
16390元/㎡
--
罗湖
honghu",2012年01月房价,16390元/㎡,--,罗湖,honghu
1355,"2012年02月房价
16434元/㎡
0.27%↑
罗湖
honghu",2012年02月房价,16434元/㎡,0.27%↑,罗湖,honghu
1356,"2012年03月房价
16611元/㎡
1.08%↑
罗湖
honghu",2012年03月房价,16611元/㎡,1.08%↑,罗湖,honghu
1357,"2012年04月房价
16762元/㎡
0.91%↑
罗湖
honghu",2012年04月房价,16762元/㎡,0.91%↑,罗湖,honghu
1358,"2012年05月房价
16833元/㎡
0.42%↑
罗湖
honghu",2012年05月房价,16833元/㎡,0.42%↑,罗湖,honghu
1359,"2012年06月房价
16689元/㎡
0.86%↓
罗湖
honghu",2012年06月房价,16689元/㎡,0.86%↓,罗湖,honghu
1360,"2012年07月房价
17202元/㎡
3.07%↑
罗湖
honghu",2012年07月房价,17202元/㎡,3.07%↑,罗湖,honghu
1361,"2012年08月房价
17709元/㎡
2.95%↑
罗湖
honghu",2012年08月房价,17709元/㎡,2.95%↑,罗湖,honghu
1362,"2012年09月房价
17402元/㎡
1.73%↓
罗湖
honghu",2012年09月房价,17402元/㎡,1.73%↓,罗湖,honghu
1363,"2012年10月房价
17650元/㎡
1.43%↑
罗湖
honghu",2012年10月房价,17650元/㎡,1.43%↑,罗湖,honghu
1364,"2012年11月房价
17818元/㎡
0.95%↑
罗湖
honghu",2012年11月房价,17818元/㎡,0.95%↑,罗湖,honghu
1365,"2012年12月房价
17722元/㎡
0.54%↓
罗湖
honghu",2012年12月房价,17722元/㎡,0.54%↓,罗湖,honghu
1366,"2019年01月房价
109461元/㎡
0.73%↑
南山
houhai",2019年01月房价,109461元/㎡,0.73%↑,南山,houhai
1367,"2019年02月房价
108069元/㎡
1.27%↓
南山
houhai",2019年02月房价,108069元/㎡,1.27%↓,南山,houhai
1368,"2019年03月房价
107980元/㎡
0.08%↓
南山
houhai",2019年03月房价,107980元/㎡,0.08%↓,南山,houhai
1369,"2019年04月房价
110106元/㎡
1.97%↑
南山
houhai",2019年04月房价,110106元/㎡,1.97%↑,南山,houhai
1370,"2019年05月房价
113241元/㎡
2.85%↑
南山
houhai",2019年05月房价,113241元/㎡,2.85%↑,南山,houhai
1371,"2019年06月房价
117527元/㎡
3.79%↑
南山
houhai",2019年06月房价,117527元/㎡,3.79%↑,南山,houhai
1372,"2019年07月房价
115231元/㎡
1.95%↓
南山
houhai",2019年07月房价,115231元/㎡,1.95%↓,南山,houhai
1373,"2019年08月房价
115232元/㎡
--
南山
houhai",2019年08月房价,115232元/㎡,--,南山,houhai
1374,"2019年09月房价
118092元/㎡
2.48%↑
南山
houhai",2019年09月房价,118092元/㎡,2.48%↑,南山,houhai
1375,"2019年10月房价
113277元/㎡
4.08%↓
南山
houhai",2019年10月房价,113277元/㎡,4.08%↓,南山,houhai
1376,"2019年11月房价
113659元/㎡
0.34%↑
南山
houhai",2019年11月房价,113659元/㎡,0.34%↑,南山,houhai
1377,"2019年12月房价
116985元/㎡
2.93%↑
南山
houhai",2019年12月房价,116985元/㎡,2.93%↑,南山,houhai
1378,"2013年01月房价
21271元/㎡
3.5%↑
福田
meilin",2013年01月房价,21271元/㎡,3.5%↑,福田,meilin
1379,"2013年02月房价
21626元/㎡
1.67%↑
福田
meilin",2013年02月房价,21626元/㎡,1.67%↑,福田,meilin
1380,"2013年03月房价
21857元/㎡
1.07%↑
福田
meilin",2013年03月房价,21857元/㎡,1.07%↑,福田,meilin
1381,"2013年04月房价
22803元/㎡
4.33%↑
福田
meilin",2013年04月房价,22803元/㎡,4.33%↑,福田,meilin
1382,"2013年05月房价
22864元/㎡
0.27%↑
福田
meilin",2013年05月房价,22864元/㎡,0.27%↑,福田,meilin
1383,"2013年06月房价
23448元/㎡
2.55%↑
福田
meilin",2013年06月房价,23448元/㎡,2.55%↑,福田,meilin
1384,"2013年07月房价
24431元/㎡
4.19%↑
福田
meilin",2013年07月房价,24431元/㎡,4.19%↑,福田,meilin
1385,"2013年08月房价
24904元/㎡
1.94%↑
福田
meilin",2013年08月房价,24904元/㎡,1.94%↑,福田,meilin
1386,"2013年09月房价
25317元/㎡
1.66%↑
福田
meilin",2013年09月房价,25317元/㎡,1.66%↑,福田,meilin
1387,"2013年10月房价
25542元/㎡
0.89%↑
福田
meilin",2013年10月房价,25542元/㎡,0.89%↑,福田,meilin
1388,"2013年11月房价
26257元/㎡
2.8%↑
福田
meilin",2013年11月房价,26257元/㎡,2.8%↑,福田,meilin
1389,"2013年12月房价
26854元/㎡
2.27%↑
福田
meilin",2013年12月房价,26854元/㎡,2.27%↑,福田,meilin
1390,"2019年01月房价
102666元/㎡
0.48%↓
福田
baihua",2019年01月房价,102666元/㎡,0.48%↓,福田,baihua
1391,"2019年02月房价
102444元/㎡
0.22%↓
福田
baihua",2019年02月房价,102444元/㎡,0.22%↓,福田,baihua
1392,"2019年03月房价
102741元/㎡
0.29%↑
福田
baihua",2019年03月房价,102741元/㎡,0.29%↑,福田,baihua
1393,"2019年04月房价
100984元/㎡
1.71%↓
福田
baihua",2019年04月房价,100984元/㎡,1.71%↓,福田,baihua
1394,"2019年05月房价
100359元/㎡
0.62%↓
福田
baihua",2019年05月房价,100359元/㎡,0.62%↓,福田,baihua
1395,"2019年06月房价
99415元/㎡
0.94%↓
福田
baihua",2019年06月房价,99415元/㎡,0.94%↓,福田,baihua
1396,"2019年07月房价
98676元/㎡
0.74%↓
福田
baihua",2019年07月房价,98676元/㎡,0.74%↓,福田,baihua
1397,"2019年08月房价
98889元/㎡
0.22%↑
福田
baihua",2019年08月房价,98889元/㎡,0.22%↑,福田,baihua
1398,"2019年09月房价
99543元/㎡
0.66%↑
福田
baihua",2019年09月房价,99543元/㎡,0.66%↑,福田,baihua
1399,"2019年10月房价
99795元/㎡
0.25%↑
福田
baihua",2019年10月房价,99795元/㎡,0.25%↑,福田,baihua
1400,"2019年11月房价
101095元/㎡
1.3%↑
福田
baihua",2019年11月房价,101095元/㎡,1.3%↑,福田,baihua
1401,"2019年12月房价
105525元/㎡
4.38%↑
福田
baihua",2019年12月房价,105525元/㎡,4.38%↑,福田,baihua
1402,"2012年01月房价
26978元/㎡
--
福田
shangbu",2012年01月房价,26978元/㎡,--,福田,shangbu
1403,"2012年02月房价
28076元/㎡
4.07%↑
福田
shangbu",2012年02月房价,28076元/㎡,4.07%↑,福田,shangbu
1404,"2012年03月房价
28560元/㎡
1.72%↑
福田
shangbu",2012年03月房价,28560元/㎡,1.72%↑,福田,shangbu
1405,"2012年04月房价
27939元/㎡
2.17%↓
福田
shangbu",2012年04月房价,27939元/㎡,2.17%↓,福田,shangbu
